Latency [ms],fresh_rate,permit_rate
55,0.85,0.8065
56,0.8485,0.8035
57,0.844,0.8005
58,0.8394999999999999,0.7982499999999999
59,0.83575,0.7945
60,0.83125,0.7922499999999999
61,0.8274999999999999,0.78925
62,0.823,0.7862499999999999
63,0.81925,0.784
64,0.8147500000000001,0.7809999999999999
65,0.8109999999999999,0.778
66,0.8065,0.775
67,0.802,0.772
68,0.7989999999999999,0.7697499999999999
69,0.7945,0.76675
70,0.79,0.7637499999999999
71,0.7855,0.7615000000000001
72,0.7809999999999999,0.7577499999999999
73,0.778,0.7555000000000001
74,0.7735,0.7525
75,0.769,0.7494999999999999
76,0.76525,0.7464999999999999
77,0.76075,0.7435
78,0.757,0.74125
79,0.7525,0.739
80,0.74875,0.73525
81,0.74425,0.733
82,0.7404999999999999,0.73
83,0.736,0.727
84,0.7315,0.724
85,0.7277499999999999,0.7210000000000001
86,0.72325,0.718
87,0.7195,0.71575
88,0.7165,0.7135
89,0.7135,0.7104999999999999
91,0.70075,0.7045
92,0.6985,0.7015
93,0.69475,0.6985
94,0.6910000000000001,0.6955
95,0.6865,0.6932499999999999
96,0.6819999999999999,0.6895
97,0.6775,0.6872499999999999
98,0.6745,0.685
99,0.6699999999999999,0.6819999999999999
100,0.6655,0.679
101,0.6617500000000001,0.6759999999999999
102,0.65725,0.673
103,0.6535,0.67075
104,0.649,0.667
105,0.6445,0.66475
106,0.6407499999999999,0.6617500000000001
107,0.63625,0.65875
108,0.6325,0.6565000000000001
109,0.6287499999999999,0.6535
110,0.62425,0.6505
111,0.61975,0.6475
112,0.616,0.6445
113,0.61225,0.64225
114,0.60775,0.6392500000000001
115,0.604,0.63625
116,0.5995,0.634
117,0.595,0.63025
118,0.59125,0.628
119,0.58675,0.625
120,0.583,0.622
121,0.5785,0.619
122,0.5740000000000001,0.616
123,0.571,0.61375
124,0.568,0.6114999999999999
125,0.5665,0.6085
126,0.5650000000000001,0.60625
127,0.5635,0.604
128,0.5635,0.60175
129,0.562,0.5995
130,0.5605,0.5965
131,0.559,0.5935
132,0.559,0.592
133,0.5575,0.58975
134,0.556,0.5875
135,0.5545,0.5845
136,0.5545,0.5815
137,0.5529999999999999,0.5800000000000001
138,0.5515,0.57775
139,0.55,0.5755
140,0.55,0.5725
141,0.5485,0.5695
142,0.547,0.568
143,0.54625,0.56575
144,0.5455,0.5635
145,0.544,0.5605
146,0.5425,0.5575
147,0.541,0.556
148,0.541,0.55375
149,0.5395000000000001,0.5515
150,0.538,0.5485
151,0.5365,0.5455
152,0.5365,0.544
153,0.535,0.54175
154,0.5335,0.5395000000000001
155,0.5327500000000001,0.5365
156,0.532,0.5335
157,0.5305,0.532
159,0.529,0.5275
160,0.5275,0.5245
161,0.526,0.5215000000000001
162,0.5245,0.52
163,0.5237499999999999,0.5177499999999999
164,0.523,0.5155000000000001
165,0.5215000000000001,0.5125
166,0.52,0.5095
167,0.51925,0.508
168,0.5185,0.50575
169,0.517,0.5035000000000001
170,0.5155000000000001,0.5005000000000001
171,0.51475,0.4975
172,0.514,0.49600000000000005
173,0.5125,0.49375
174,0.511,0.49150000000000005
175,0.51025,0.4885
176,0.5095,0.4855
177,0.508,0.484
178,0.5065000000000001,0.48100000000000004
179,0.5065000000000001,0.4795
180,0.505,0.47650000000000003
181,0.5035000000000001,0.47350000000000003
182,0.502,0.47200000000000003
183,0.502,0.46900000000000003
184,0.5005000000000001,0.4675
185,0.499,0.4645
186,0.4975,0.4615
187,0.49675,0.45925000000000005
188,0.49600000000000005,0.457
189,0.4945,0.4555
190,0.493,0.4525
191,0.493,0.4495
192,0.49150000000000005,0.44725000000000004
193,0.49,0.445
194,0.4885,0.4435
195,0.4885,0.4405
196,0.48700000000000004,0.43750000000000006
197,0.4855,0.43525
198,0.484,0.43300000000000005
199,0.484,0.4315
200,0.48250000000000004,0.42850000000000005
201,0.48100000000000004,0.4255
202,0.4795,0.42325
203,0.4795,0.421
204,0.47800000000000004,0.41950000000000004
205,0.47650000000000003,0.4165
206,0.475,0.41350000000000003
207,0.475,0.41125
208,0.47350000000000003,0.40900000000000003
209,0.47200000000000003,0.40750000000000003
210,0.4705,0.4045
211,0.4705,0.4015
231,0.448,0.8335
232,0.44650000000000006,0.8335
233,0.445,0.8335
234,0.44425000000000003,0.8335
235,0.4435,0.8335
236,0.44200000000000006,0.8335
237,0.4405,0.8335
