scenario,time_s,veh,latency_ms,loss_rate,speed_mps,dist_to_stop_m,TTC_s,fresh,canStop,safeGap,permit,red,ped,mode,hard_brake,conflict,viol_conflict_brake
baseline,0.0,veh_01,50,0.01,13.490142459033699,1.8486901938981677,6.299108369503866,1,0,1,0,0,0,ESTOP,0,0,0
baseline,0.5,veh_01,50,0.01,11.585207096486446,0.8083297334884736,3.6551806428304197,1,0,1,0,0,0,ESTOP,0,0,0
baseline,1.0,veh_01,50,0.01,13.943065614302078,1.7596461572746342,4.942210020221004,1,0,1,0,0,0,ESTOP,0,0,0
baseline,1.5,veh_01,50,0.01,16.569089569224076,5.397351299150088,5.905188319863573,1,0,1,1,0,0,ESTOP,0,0,0
baseline,2.0,veh_01,50,0.01,11.297539875829992,4.120806517460483,2.772288674436413,1,0,1,1,0,0,ESTOP,0,0,0
baseline,2.5,veh_01,50,0.01,11.297589129152458,8.379199768765023,1.7458524735540948,1,0,0,1,0,0,ESTOP,0,1,1
baseline,3.0,veh_01,50,0.01,16.737638446522176,5.870341150770809,3.6088972526622713,1,0,1,1,0,0,ESTOP,0,0,0
baseline,3.5,veh_01,50,0.01,14.302304187458727,10.991291581437928,2.3118714883796665,1,0,1,1,0,0,ESTOP,0,0,0
baseline,4.0,veh_01,50,0.01,10.591576842195144,8.568224188690271,3.776444999905705,1,0,1,1,1,0,ESTOP,0,0,0
baseline,4.5,veh_01,50,0.01,13.627680130757895,13.236840647587556,3.990019818053144,1,0,1,1,0,0,ESTOP,0,0,0
baseline,5.0,veh_01,50,0.01,10.609746921562614,13.05175669147124,2.021282432197083,1,1,1,1,1,0,YIELD,0,0,0
baseline,5.5,veh_01,50,0.01,10.602810739289229,16.172626419673332,5.206658665166298,1,1,1,1,0,0,CRUISE,0,0,0
baseline,6.0,veh_01,50,0.01,12.725886814698102,13.746035977688969,3.7641791599533234,1,0,1,1,0,0,ESTOP,0,0,0
baseline,6.5,veh_01,50,0.01,6.260159266026607,16.90576009929383,5.620689803508025,0,1,1,1,0,0,ESTOP,0,0,0
baseline,7.0,veh_01,50,0.01,6.825246502460901,19.79560761974141,1.2326421395558596,1,1,0,0,0,0,BRAKE,1,1,0
baseline,7.5,veh_01,50,0.01,10.313137412277083,19.226562994935083,2.4742117441819143,1,1,1,1,0,0,CRUISE,0,0,0
baseline,8.0,veh_01,50,0.01,8.961506638996728,20.85442670633106,4.7750039629721845,0,1,1,1,0,0,ESTOP,0,0,0
baseline,8.5,veh_01,50,0.01,12.942741997785822,22.30854959635322,2.8013341437621024,1,1,1,1,0,0,CRUISE,0,0,0
baseline,9.0,veh_01,50,0.01,9.275927773436367,22.51768924604843,3.753196512925456,1,1,1,1,1,0,YIELD,0,0,0
baseline,9.5,veh_01,50,0.01,7.763088895994126,24.368170333316673,4.001048676335762,1,1,1,1,0,0,CRUISE,0,0,0
baseline,10.0,veh_01,50,0.01,16.39694630676466,25.337257247692392,4.237383971430051,1,1,1,1,1,0,YIELD,0,0,0
baseline,10.5,veh_01,50,0.01,11.322671098540393,27.729560277761397,2.9836506808994394,1,1,1,1,0,0,CRUISE,0,0,0
baseline,11.0,veh_01,50,0.01,12.202584614063772,25.41373727211718,4.223929845208716,1,1,1,1,0,0,CRUISE,0,0,0
baseline,11.5,veh_01,50,0.01,7.725755441359629,27.44416460461056,2.82618444214828,1,1,1,1,0,0,CRUISE,0,0,0
baseline,12.0,veh_01,50,0.01,10.366851826424451,31.190908550929883,5.011420703120163,0,1,1,1,0,0,ESTOP,0,0,0
baseline,12.5,veh_01,50,0.01,12.332767769129598,31.999126585999687,3.8277339707754647,1,1,1,1,0,0,CRUISE,0,0,0
